risk_id;cve_id;description;cvss_score;ports;protocols;ip_ranges;source;last_updated
R070;;Reported abusive IP;10.0;;;31.215.94.255;AbuseIPDB;03/03/2025
R071;;Reported abusive IP;10.0;;;203.83.233.37;AbuseIPDB;03/03/2025
R072;;Reported abusive IP;10.0;;;103.203.59.16;AbuseIPDB;03/03/2025
R073;;Reported abusive IP;10.0;;;161.35.9.83;AbuseIPDB;03/03/2025
R074;;Reported abusive IP;10.0;;;143.42.164.127;AbuseIPDB;03/03/2025
R075;;Reported abusive IP;10.0;;;125.228.84.89;AbuseIPDB;03/03/2025
R076;;Reported abusive IP;10.0;;;139.162.113.212;AbuseIPDB;03/03/2025
R077;;Reported abusive IP;10.0;;;59.126.136.131;AbuseIPDB;03/03/2025
R078;;Reported abusive IP;10.0;;;103.218.241.7;AbuseIPDB;03/03/2025
R079;;Reported abusive IP;10.0;;;165.227.147.215;AbuseIPDB;03/03/2025
R080;;Reported abusive IP;10.0;;;81.29.140.5;AbuseIPDB;03/03/2025
R081;;Reported abusive IP;10.0;;;59.126.47.47;AbuseIPDB;03/03/2025
R082;;Reported abusive IP;10.0;;;90.226.200.58;AbuseIPDB;03/03/2025
R083;;Reported abusive IP;10.0;;;196.251.71.213;AbuseIPDB;03/03/2025
R084;;Reported abusive IP;10.0;;;199.45.154.180;AbuseIPDB;03/03/2025
R085;;Reported abusive IP;10.0;;;193.163.125.150;AbuseIPDB;03/03/2025
R086;;Reported abusive IP;10.0;;;64.62.197.198;AbuseIPDB;03/03/2025
R087;;Reported abusive IP;10.0;;;185.180.141.5;AbuseIPDB;03/03/2025
R088;;Reported abusive IP;10.0;;;20.150.204.7;AbuseIPDB;03/03/2025
R089;;Reported abusive IP;10.0;;;111.161.65.209;AbuseIPDB;03/03/2025
R090;;Reported abusive IP;10.0;;;193.163.125.127;AbuseIPDB;03/03/2025
R091;;Reported abusive IP;10.0;;;184.105.247.199;AbuseIPDB;03/03/2025
R092;;Reported abusive IP;10.0;;;193.163.125.235;AbuseIPDB;03/03/2025
R093;;Reported abusive IP;10.0;;;65.49.1.18;AbuseIPDB;03/03/2025
R094;;Reported abusive IP;10.0;;;91.196.152.8;AbuseIPDB;03/03/2025
R095;;Reported abusive IP;10.0;;;199.45.154.191;AbuseIPDB;03/03/2025
R096;;Reported abusive IP;10.0;;;216.218.206.110;AbuseIPDB;03/03/2025
R097;;Reported abusive IP;10.0;;;125.228.47.45;AbuseIPDB;03/03/2025
R098;;Reported abusive IP;10.0;;;47.251.90.27;AbuseIPDB;03/03/2025
R099;;Reported abusive IP;10.0;;;8.211.52.6;AbuseIPDB;03/03/2025
R100;;Reported abusive IP;10.0;;;59.126.47.168;AbuseIPDB;03/03/2025
R101;;Reported abusive IP;10.0;;;193.163.125.229;AbuseIPDB;03/03/2025
R102;;Reported abusive IP;10.0;;;8.219.9.139;AbuseIPDB;03/03/2025
R103;;Reported abusive IP;10.0;;;39.104.22.65;AbuseIPDB;03/03/2025
R104;;Reported abusive IP;10.0;;;65.49.1.124;AbuseIPDB;03/03/2025
R105;;Reported abusive IP;10.0;;;122.116.134.171;AbuseIPDB;03/03/2025
R106;;Reported abusive IP;10.0;;;64.62.156.113;AbuseIPDB;03/03/2025
R107;;Reported abusive IP;10.0;;;51.81.144.39;AbuseIPDB;03/03/2025
R108;;Reported abusive IP;10.0;;;185.224.0.29;AbuseIPDB;03/03/2025
R109;;Reported abusive IP;10.0;;;1.40.153.124;AbuseIPDB;03/03/2025
R110;;Reported abusive IP;10.0;;;204.76.203.70;AbuseIPDB;03/03/2025
R111;;Reported abusive IP;10.0;;;47.254.243.146;AbuseIPDB;03/03/2025
R112;;Reported abusive IP;10.0;;;151.177.78.165;AbuseIPDB;03/03/2025
R113;;Reported abusive IP;10.0;;;114.35.46.40;AbuseIPDB;03/03/2025
R114;;Reported abusive IP;10.0;;;114.170.84.187;AbuseIPDB;03/03/2025
R115;;Reported abusive IP;10.0;;;193.163.125.242;AbuseIPDB;03/03/2025
R116;;Reported abusive IP;10.0;;;199.45.154.188;AbuseIPDB;03/03/2025
R117;;Reported abusive IP;10.0;;;106.75.154.136;AbuseIPDB;03/03/2025
R118;;Reported abusive IP;10.0;;;65.49.20.71;AbuseIPDB;03/03/2025
