risk_id;cve_id;description;cvss_score;ports;protocols;ip_ranges;source;last_updated
R317;;Reported abusive IP;10.0;;;65.49.20.74;AbuseIPDB;03/03/2025
R318;;Reported abusive IP;10.0;;;64.62.197.22;AbuseIPDB;03/03/2025
R319;;Reported abusive IP;10.0;;;72.208.142.55;AbuseIPDB;03/03/2025
R320;;Reported abusive IP;10.0;;;206.168.34.137;AbuseIPDB;03/03/2025
R321;;Reported abusive IP;10.0;;;206.168.34.128;AbuseIPDB;03/03/2025
R322;;Reported abusive IP;10.0;;;113.30.150.23;AbuseIPDB;03/03/2025
R323;;Reported abusive IP;10.0;;;93.127.126.226;AbuseIPDB;03/03/2025
R324;;Reported abusive IP;10.0;;;8.219.194.70;AbuseIPDB;03/03/2025
R325;;Reported abusive IP;10.0;;;165.22.34.189;AbuseIPDB;03/03/2025
R326;;Reported abusive IP;10.0;;;45.79.191.178;AbuseIPDB;03/03/2025
R327;;Reported abusive IP;10.0;;;206.168.34.165;AbuseIPDB;03/03/2025
R328;;Reported abusive IP;10.0;;;106.105.116.209;AbuseIPDB;03/03/2025
R329;;Reported abusive IP;10.0;;;112.186.10.254;AbuseIPDB;03/03/2025
R330;;Reported abusive IP;10.0;;;173.255.223.89;AbuseIPDB;03/03/2025
R331;;Reported abusive IP;10.0;;;8.211.42.91;AbuseIPDB;03/03/2025
R332;;Reported abusive IP;10.0;;;122.117.29.228;AbuseIPDB;03/03/2025
R333;;Reported abusive IP;10.0;;;45.33.84.119;AbuseIPDB;03/03/2025
R334;;Reported abusive IP;10.0;;;45.33.95.64;AbuseIPDB;03/03/2025
R335;;Reported abusive IP;10.0;;;45.79.177.245;AbuseIPDB;03/03/2025
R336;;Reported abusive IP;10.0;;;114.35.41.88;AbuseIPDB;03/03/2025
R337;;Reported abusive IP;10.0;;;193.174.89.19;AbuseIPDB;03/03/2025
R338;;Reported abusive IP;10.0;;;47.96.40.217;AbuseIPDB;03/03/2025
R339;;Reported abusive IP;10.0;;;89.248.165.71;AbuseIPDB;03/03/2025
R340;;Reported abusive IP;10.0;;;216.218.206.84;AbuseIPDB;03/03/2025
R341;;Reported abusive IP;10.0;;;8.211.47.212;AbuseIPDB;03/03/2025
R342;;Reported abusive IP;10.0;;;170.187.165.134;AbuseIPDB;03/03/2025
R343;;Reported abusive IP;10.0;;;152.32.247.54;AbuseIPDB;03/03/2025
R344;;Reported abusive IP;10.0;;;46.26.235.102;AbuseIPDB;03/03/2025
R345;;Reported abusive IP;10.0;;;64.62.156.51;AbuseIPDB;03/03/2025
R346;;Reported abusive IP;10.0;;;170.187.165.219;AbuseIPDB;03/03/2025
R347;;Reported abusive IP;10.0;;;37.252.79.24;AbuseIPDB;03/03/2025
R348;;Reported abusive IP;10.0;;;139.144.239.98;AbuseIPDB;03/03/2025
R349;;Reported abusive IP;10.0;;;8.134.159.4;AbuseIPDB;03/03/2025
R350;;Reported abusive IP;10.0;;;47.236.248.96;AbuseIPDB;03/03/2025
R351;;Reported abusive IP;10.0;;;139.144.239.74;AbuseIPDB;03/03/2025
R352;;Reported abusive IP;10.0;;;106.13.112.250;AbuseIPDB;03/03/2025
R353;;Reported abusive IP;10.0;;;8.211.42.24;AbuseIPDB;03/03/2025
R354;;Reported abusive IP;10.0;;;103.73.223.241;AbuseIPDB;03/03/2025
R355;;Reported abusive IP;10.0;;;65.49.1.126;AbuseIPDB;03/03/2025
R356;;Reported abusive IP;10.0;;;192.227.211.119;AbuseIPDB;03/03/2025
R357;;Reported abusive IP;10.0;;;64.62.197.192;AbuseIPDB;03/03/2025
R358;;Reported abusive IP;10.0;;;193.163.125.154;AbuseIPDB;03/03/2025
R359;;Reported abusive IP;10.0;;;216.218.206.81;AbuseIPDB;03/03/2025
R360;;Reported abusive IP;10.0;;;122.116.80.198;AbuseIPDB;03/03/2025
R361;;Reported abusive IP;10.0;;;147.182.200.94;AbuseIPDB;03/03/2025
R362;;Reported abusive IP;10.0;;;65.49.20.105;AbuseIPDB;03/03/2025
R363;;Reported abusive IP;10.0;;;103.226.124.28;AbuseIPDB;03/03/2025
R364;;Reported abusive IP;10.0;;;220.123.229.17;AbuseIPDB;03/03/2025
R365;;Reported abusive IP;10.0;;;184.105.139.83;AbuseIPDB;03/03/2025
R366;;Reported abusive IP;10.0;;;220.133.9.67;AbuseIPDB;03/03/2025
R367;;Reported abusive IP;10.0;;;184.105.139.106;AbuseIPDB;03/03/2025
R368;;Reported abusive IP;10.0;;;184.105.247.208;AbuseIPDB;03/03/2025
R369;;Reported abusive IP;10.0;;;45.156.129.61;AbuseIPDB;03/03/2025
R370;;Reported abusive IP;10.0;;;122.116.93.206;AbuseIPDB;03/03/2025
R371;;Reported abusive IP;10.0;;;184.105.139.91;AbuseIPDB;03/03/2025
R372;;Reported abusive IP;10.0;;;64.62.197.180;AbuseIPDB;03/03/2025
R373;;Reported abusive IP;10.0;;;71.6.146.130;AbuseIPDB;03/03/2025
R374;;Reported abusive IP;10.0;;;65.49.1.128;AbuseIPDB;03/03/2025
R375;;Reported abusive IP;10.0;;;108.167.178.116;AbuseIPDB;03/03/2025
R376;;Reported abusive IP;10.0;;;165.154.51.90;AbuseIPDB;03/03/2025
R377;;Reported abusive IP;10.0;;;64.226.65.160;AbuseIPDB;03/03/2025
R378;;Reported abusive IP;10.0;;;142.93.20.121;AbuseIPDB;03/03/2025
R379;;Reported abusive IP;10.0;;;65.49.1.43;AbuseIPDB;03/03/2025
R380;;Reported abusive IP;10.0;;;8.211.39.61;AbuseIPDB;03/03/2025
R381;;Reported abusive IP;10.0;;;193.163.125.162;AbuseIPDB;03/03/2025
R382;;Reported abusive IP;10.0;;;8.211.52.80;AbuseIPDB;03/03/2025
R383;;Reported abusive IP;10.0;;;45.147.250.208;AbuseIPDB;03/03/2025
R384;;Reported abusive IP;10.0;;;65.49.1.42;AbuseIPDB;03/03/2025
R385;;Reported abusive IP;10.0;;;88.151.192.60;AbuseIPDB;03/03/2025
R386;;Reported abusive IP;10.0;;;183.107.128.91;AbuseIPDB;03/03/2025
R387;;Reported abusive IP;10.0;;;193.163.125.132;AbuseIPDB;03/03/2025
R388;;Reported abusive IP;10.0;;;65.49.1.168;AbuseIPDB;03/03/2025
R389;;Reported abusive IP;10.0;;;103.182.105.138;AbuseIPDB;03/03/2025
R390;;Reported abusive IP;10.0;;;90.188.88.50;AbuseIPDB;03/03/2025
R391;;Reported abusive IP;10.0;;;49.88.156.34;AbuseIPDB;03/03/2025
R392;;Reported abusive IP;10.0;;;216.218.206.87;AbuseIPDB;03/03/2025
R393;;Reported abusive IP;10.0;;;196.206.227.164;AbuseIPDB;03/03/2025
R394;;Reported abusive IP;10.0;;;64.62.156.119;AbuseIPDB;03/03/2025
R395;;Reported abusive IP;10.0;;;206.168.34.170;AbuseIPDB;03/03/2025
R396;;Reported abusive IP;10.0;;;47.237.112.17;AbuseIPDB;03/03/2025
R397;;Reported abusive IP;10.0;;;130.61.231.126;AbuseIPDB;03/03/2025
R398;;Reported abusive IP;10.0;;;8.221.141.40;AbuseIPDB;03/03/2025
R399;;Reported abusive IP;10.0;;;20.29.36.140;AbuseIPDB;03/03/2025
R400;;Reported abusive IP;10.0;;;91.196.152.113;AbuseIPDB;03/03/2025
R401;;Reported abusive IP;10.0;;;193.163.125.241;AbuseIPDB;03/03/2025
R402;;Reported abusive IP;10.0;;;193.163.125.137;AbuseIPDB;03/03/2025
R403;;Reported abusive IP;10.0;;;59.126.80.26;AbuseIPDB;03/03/2025
R404;;Reported abusive IP;10.0;;;23.92.27.206;AbuseIPDB;03/03/2025
R405;;Reported abusive IP;10.0;;;64.62.156.22;AbuseIPDB;03/03/2025
R406;;Reported abusive IP;10.0;;;220.133.156.213;AbuseIPDB;03/03/2025
R407;;Reported abusive IP;10.0;;;64.62.156.55;AbuseIPDB;03/03/2025
R408;;Reported abusive IP;10.0;;;114.33.21.200;AbuseIPDB;03/03/2025
R409;;Reported abusive IP;10.0;;;64.62.197.237;AbuseIPDB;03/03/2025
R410;;Reported abusive IP;10.0;;;203.212.104.171;AbuseIPDB;03/03/2025
R411;;Reported abusive IP;10.0;;;47.91.93.202;AbuseIPDB;03/03/2025
R412;;Reported abusive IP;10.0;;;8.219.59.96;AbuseIPDB;03/03/2025
R413;;Reported abusive IP;10.0;;;139.162.119.61;AbuseIPDB;03/03/2025
R414;;Reported abusive IP;10.0;;;157.245.105.107;AbuseIPDB;03/03/2025
R415;;Reported abusive IP;10.0;;;34.46.107.224;AbuseIPDB;03/03/2025
R416;;Reported abusive IP;10.0;;;154.212.141.187;AbuseIPDB;03/03/2025
R417;;Reported abusive IP;10.0;;;64.62.197.150;AbuseIPDB;03/03/2025
R418;;Reported abusive IP;10.0;;;8.218.83.143;AbuseIPDB;03/03/2025
R419;;Reported abusive IP;10.0;;;94.61.7.100;AbuseIPDB;03/03/2025
R420;;Reported abusive IP;10.0;;;64.62.156.63;AbuseIPDB;03/03/2025
R421;;Reported abusive IP;10.0;;;114.27.65.197;AbuseIPDB;03/03/2025
R422;;Reported abusive IP;10.0;;;64.62.197.54;AbuseIPDB;03/03/2025
R423;;Reported abusive IP;10.0;;;71.6.199.23;AbuseIPDB;03/03/2025
R424;;Reported abusive IP;10.0;;;64.62.197.138;AbuseIPDB;03/03/2025
R425;;Reported abusive IP;10.0;;;114.34.83.134;AbuseIPDB;03/03/2025
R426;;Reported abusive IP;10.0;;;92.118.39.81;AbuseIPDB;03/03/2025
R427;;Reported abusive IP;10.0;;;64.62.197.108;AbuseIPDB;03/03/2025
R428;;Reported abusive IP;10.0;;;64.62.197.135;AbuseIPDB;03/03/2025
R429;;Reported abusive IP;10.0;;;176.65.144.150;AbuseIPDB;03/03/2025
R430;;Reported abusive IP;10.0;;;4.246.227.228;AbuseIPDB;03/03/2025
R431;;Reported abusive IP;10.0;;;152.32.168.34;AbuseIPDB;03/03/2025
R432;;Reported abusive IP;10.0;;;37.229.149.167;AbuseIPDB;03/03/2025
R433;;Reported abusive IP;10.0;;;114.33.126.178;AbuseIPDB;03/03/2025
R434;;Reported abusive IP;10.0;;;65.49.1.41;AbuseIPDB;03/03/2025
R435;;Reported abusive IP;10.0;;;198.2.85.240;AbuseIPDB;03/03/2025
R436;;Reported abusive IP;10.0;;;50.116.53.221;AbuseIPDB;03/03/2025
R437;;Reported abusive IP;10.0;;;114.35.28.3;AbuseIPDB;03/03/2025
R438;;Reported abusive IP;10.0;;;185.180.141.34;AbuseIPDB;03/03/2025
R439;;Reported abusive IP;10.0;;;64.62.197.193;AbuseIPDB;03/03/2025
R440;;Reported abusive IP;10.0;;;159.223.184.195;AbuseIPDB;03/03/2025
R441;;Reported abusive IP;10.0;;;74.82.47.30;AbuseIPDB;03/03/2025
R442;;Reported abusive IP;10.0;;;20.168.122.18;AbuseIPDB;03/03/2025
R443;;Reported abusive IP;10.0;;;120.78.150.45;AbuseIPDB;03/03/2025
R444;;Reported abusive IP;10.0;;;193.163.125.231;AbuseIPDB;03/03/2025
R445;;Reported abusive IP;10.0;;;125.229.239.144;AbuseIPDB;03/03/2025
R446;;Reported abusive IP;10.0;;;45.156.128.83;AbuseIPDB;03/03/2025
R447;;Reported abusive IP;10.0;;;192.42.116.218;AbuseIPDB;03/03/2025
R448;;Reported abusive IP;10.0;;;64.62.197.86;AbuseIPDB;03/03/2025
R449;;Reported abusive IP;10.0;;;91.196.152.97;AbuseIPDB;03/03/2025
R450;;Reported abusive IP;10.0;;;49.213.142.65;AbuseIPDB;03/03/2025
R451;;Reported abusive IP;10.0;;;193.163.125.46;AbuseIPDB;03/03/2025
R452;;Reported abusive IP;10.0;;;198.74.56.168;AbuseIPDB;03/03/2025
R453;;Reported abusive IP;10.0;;;196.251.118.79;AbuseIPDB;03/03/2025
R454;;Reported abusive IP;10.0;;;113.30.151.61;AbuseIPDB;03/03/2025
R455;;Reported abusive IP;10.0;;;47.251.63.50;AbuseIPDB;03/03/2025
R456;;Reported abusive IP;10.0;;;64.62.197.13;AbuseIPDB;03/03/2025
R457;;Reported abusive IP;10.0;;;114.34.166.158;AbuseIPDB;03/03/2025
R458;;Reported abusive IP;10.0;;;64.62.197.202;AbuseIPDB;03/03/2025
R459;;Reported abusive IP;10.0;;;59.126.62.141;AbuseIPDB;03/03/2025
R460;;Reported abusive IP;10.0;;;37.46.113.164;AbuseIPDB;03/03/2025
R461;;Reported abusive IP;10.0;;;27.215.90.214;AbuseIPDB;03/03/2025
R462;;Reported abusive IP;10.0;;;193.163.125.12;AbuseIPDB;03/03/2025
R463;;Reported abusive IP;10.0;;;125.228.215.103;AbuseIPDB;03/03/2025
R464;;Reported abusive IP;10.0;;;68.183.180.73;AbuseIPDB;03/03/2025
R465;;Reported abusive IP;10.0;;;61.76.60.80;AbuseIPDB;03/03/2025
R466;;Reported abusive IP;10.0;;;202.106.54.122;AbuseIPDB;03/03/2025
R467;;Reported abusive IP;10.0;;;47.251.57.225;AbuseIPDB;03/03/2025
R468;;Reported abusive IP;10.0;;;193.163.125.144;AbuseIPDB;03/03/2025
R469;;Reported abusive IP;10.0;;;193.163.125.51;AbuseIPDB;03/03/2025
R470;;Reported abusive IP;10.0;;;112.168.59.206;AbuseIPDB;03/03/2025
R471;;Reported abusive IP;10.0;;;220.133.23.52;AbuseIPDB;03/03/2025
R472;;Reported abusive IP;10.0;;;91.196.152.120;AbuseIPDB;03/03/2025
R473;;Reported abusive IP;10.0;;;60.34.6.204;AbuseIPDB;03/03/2025
R474;;Reported abusive IP;10.0;;;64.62.156.21;AbuseIPDB;03/03/2025
R475;;Reported abusive IP;10.0;;;59.126.25.244;AbuseIPDB;03/03/2025
R476;;Reported abusive IP;10.0;;;59.126.76.251;AbuseIPDB;03/03/2025
R477;;Reported abusive IP;10.0;;;206.168.34.150;AbuseIPDB;03/03/2025
R478;;Reported abusive IP;10.0;;;59.126.238.6;AbuseIPDB;03/03/2025
R479;;Reported abusive IP;10.0;;;103.250.10.92;AbuseIPDB;03/03/2025
R480;;Reported abusive IP;10.0;;;87.120.93.10;AbuseIPDB;03/03/2025
R481;;Reported abusive IP;10.0;;;64.62.197.67;AbuseIPDB;03/03/2025
R482;;Reported abusive IP;10.0;;;116.241.46.182;AbuseIPDB;03/03/2025
R483;;Reported abusive IP;10.0;;;184.105.247.220;AbuseIPDB;03/03/2025
R484;;Reported abusive IP;10.0;;;193.163.125.243;AbuseIPDB;03/03/2025
R485;;Reported abusive IP;10.0;;;64.62.156.30;AbuseIPDB;03/03/2025
R486;;Reported abusive IP;10.0;;;164.52.24.188;AbuseIPDB;03/03/2025
R487;;Reported abusive IP;10.0;;;216.218.206.119;AbuseIPDB;03/03/2025
R488;;Reported abusive IP;10.0;;;8.219.141.220;AbuseIPDB;03/03/2025
R489;;Reported abusive IP;10.0;;;193.163.125.134;AbuseIPDB;03/03/2025
R490;;Reported abusive IP;10.0;;;103.115.44.121;AbuseIPDB;03/03/2025
R491;;Reported abusive IP;10.0;;;64.62.197.89;AbuseIPDB;03/03/2025
R492;;Reported abusive IP;10.0;;;64.62.197.146;AbuseIPDB;03/03/2025
R493;;Reported abusive IP;10.0;;;220.135.101.92;AbuseIPDB;03/03/2025
R494;;Reported abusive IP;10.0;;;92.118.39.73;AbuseIPDB;03/03/2025
R495;;Reported abusive IP;10.0;;;64.62.197.73;AbuseIPDB;03/03/2025
R496;;Reported abusive IP;10.0;;;74.234.146.205;AbuseIPDB;03/03/2025
R497;;Reported abusive IP;10.0;;;59.126.165.148;AbuseIPDB;03/03/2025
R498;;Reported abusive IP;10.0;;;45.116.243.188;AbuseIPDB;03/03/2025
R499;;Reported abusive IP;10.0;;;60.213.1.10;AbuseIPDB;03/03/2025
R500;;Reported abusive IP;10.0;;;193.163.125.224;AbuseIPDB;03/03/2025
R501;;Reported abusive IP;10.0;;;91.223.169.235;AbuseIPDB;03/03/2025
R502;;Reported abusive IP;10.0;;;200.7.102.138;AbuseIPDB;03/03/2025
R503;;Reported abusive IP;10.0;;;165.154.172.244;AbuseIPDB;03/03/2025
R504;;Reported abusive IP;10.0;;;184.105.139.120;AbuseIPDB;03/03/2025
R505;;Reported abusive IP;10.0;;;114.33.7.225;AbuseIPDB;03/03/2025
R506;;Reported abusive IP;10.0;;;65.49.20.97;AbuseIPDB;03/03/2025
R507;;Reported abusive IP;10.0;;;193.32.162.136;AbuseIPDB;03/03/2025
R508;;Reported abusive IP;10.0;;;64.62.197.168;AbuseIPDB;03/03/2025
R509;;Reported abusive IP;10.0;;;199.45.154.176;AbuseIPDB;03/03/2025
R510;;Reported abusive IP;10.0;;;114.32.184.79;AbuseIPDB;03/03/2025
R511;;Reported abusive IP;10.0;;;170.187.157.109;AbuseIPDB;03/03/2025
R512;;Reported abusive IP;10.0;;;27.109.232.224;AbuseIPDB;03/03/2025
R513;;Reported abusive IP;10.0;;;185.180.143.79;AbuseIPDB;03/03/2025
R514;;Reported abusive IP;10.0;;;196.46.210.11;AbuseIPDB;03/03/2025
R515;;Reported abusive IP;10.0;;;89.219.171.85;AbuseIPDB;03/03/2025
R516;;Reported abusive IP;10.0;;;4.188.112.137;AbuseIPDB;03/03/2025
R517;;Reported abusive IP;10.0;;;178.32.72.223;AbuseIPDB;03/03/2025
R518;;Reported abusive IP;10.0;;;65.49.1.60;AbuseIPDB;03/03/2025
R519;;Reported abusive IP;10.0;;;45.156.130.22;AbuseIPDB;03/03/2025
R520;;Reported abusive IP;10.0;;;5.30.215.71;AbuseIPDB;03/03/2025
R521;;Reported abusive IP;10.0;;;45.156.128.71;AbuseIPDB;03/03/2025
R522;;Reported abusive IP;10.0;;;104.248.221.216;AbuseIPDB;03/03/2025
R523;;Reported abusive IP;10.0;;;64.62.197.29;AbuseIPDB;03/03/2025
R524;;Reported abusive IP;10.0;;;45.164.177.174;AbuseIPDB;03/03/2025
R525;;Reported abusive IP;10.0;;;37.115.183.139;AbuseIPDB;03/03/2025
R526;;Reported abusive IP;10.0;;;45.156.129.83;AbuseIPDB;03/03/2025
R527;;Reported abusive IP;10.0;;;2.122.158.248;AbuseIPDB;03/03/2025
R528;;Reported abusive IP;10.0;;;193.163.125.228;AbuseIPDB;03/03/2025
R529;;Reported abusive IP;10.0;;;114.33.80.184;AbuseIPDB;03/03/2025
R530;;Reported abusive IP;10.0;;;47.251.88.100;AbuseIPDB;03/03/2025
R531;;Reported abusive IP;10.0;;;193.163.125.123;AbuseIPDB;03/03/2025
R532;;Reported abusive IP;10.0;;;182.155.175.17;AbuseIPDB;03/03/2025
R533;;Reported abusive IP;10.0;;;47.250.139.9;AbuseIPDB;03/03/2025
R534;;Reported abusive IP;10.0;;;45.148.10.90;AbuseIPDB;03/03/2025
R535;;Reported abusive IP;10.0;;;90.160.139.163;AbuseIPDB;03/03/2025
R536;;Reported abusive IP;10.0;;;65.49.1.32;AbuseIPDB;03/03/2025
R537;;Reported abusive IP;10.0;;;196.251.112.87;AbuseIPDB;03/03/2025
R538;;Reported abusive IP;10.0;;;114.32.34.121;AbuseIPDB;03/03/2025
R539;;Reported abusive IP;10.0;;;118.193.43.141;AbuseIPDB;03/03/2025
R540;;Reported abusive IP;10.0;;;185.47.172.136;AbuseIPDB;03/03/2025
R541;;Reported abusive IP;10.0;;;45.147.250.233;AbuseIPDB;03/03/2025
R542;;Reported abusive IP;10.0;;;178.137.139.115;AbuseIPDB;03/03/2025
R543;;Reported abusive IP;10.0;;;223.112.39.21;AbuseIPDB;03/03/2025
R544;;Reported abusive IP;10.0;;;14.103.114.231;AbuseIPDB;03/03/2025
R545;;Reported abusive IP;10.0;;;193.163.125.41;AbuseIPDB;03/03/2025
R546;;Reported abusive IP;10.0;;;193.163.125.199;AbuseIPDB;03/03/2025
R547;;Reported abusive IP;10.0;;;193.163.125.147;AbuseIPDB;03/03/2025
R548;;Reported abusive IP;10.0;;;65.49.1.79;AbuseIPDB;03/03/2025
R549;;Reported abusive IP;10.0;;;206.168.34.167;AbuseIPDB;03/03/2025
R550;;Reported abusive IP;10.0;;;193.163.125.58;AbuseIPDB;03/03/2025
R551;;Reported abusive IP;10.0;;;123.241.14.252;AbuseIPDB;03/03/2025
R552;;Reported abusive IP;10.0;;;65.49.1.164;AbuseIPDB;03/03/2025
R553;;Reported abusive IP;10.0;;;64.62.197.200;AbuseIPDB;03/03/2025
R554;;Reported abusive IP;10.0;;;104.248.184.226;AbuseIPDB;03/03/2025
R555;;Reported abusive IP;10.0;;;52.249.35.32;AbuseIPDB;03/03/2025
R556;;Reported abusive IP;10.0;;;5.188.206.38;AbuseIPDB;03/03/2025
R557;;Reported abusive IP;10.0;;;8.216.67.37;AbuseIPDB;03/03/2025
R558;;Reported abusive IP;10.0;;;68.183.128.96;AbuseIPDB;03/03/2025
R559;;Reported abusive IP;10.0;;;107.180.114.152;AbuseIPDB;03/03/2025
R560;;Reported abusive IP;10.0;;;218.161.35.6;AbuseIPDB;03/03/2025
R561;;Reported abusive IP;10.0;;;114.32.98.235;AbuseIPDB;03/03/2025
R562;;Reported abusive IP;10.0;;;221.216.7.58;AbuseIPDB;03/03/2025
R563;;Reported abusive IP;10.0;;;220.132.157.172;AbuseIPDB;03/03/2025
R564;;Reported abusive IP;10.0;;;143.244.168.161;AbuseIPDB;03/03/2025
R565;;Reported abusive IP;10.0;;;140.246.103.212;AbuseIPDB;03/03/2025
R566;;Reported abusive IP;10.0;;;159.65.168.103;AbuseIPDB;03/03/2025
R567;;Reported abusive IP;10.0;;;47.74.44.18;AbuseIPDB;03/03/2025
R568;;Reported abusive IP;10.0;;;165.154.173.204;AbuseIPDB;03/03/2025
R569;;Reported abusive IP;10.0;;;71.6.147.254;AbuseIPDB;03/03/2025
R570;;Reported abusive IP;10.0;;;222.186.13.131;AbuseIPDB;03/03/2025
R571;;Reported abusive IP;10.0;;;121.197.0.121;AbuseIPDB;03/03/2025
R572;;Reported abusive IP;10.0;;;20.221.67.150;AbuseIPDB;03/03/2025
R573;;Reported abusive IP;10.0;;;45.79.168.96;AbuseIPDB;03/03/2025
R574;;Reported abusive IP;10.0;;;114.35.31.23;AbuseIPDB;03/03/2025
R575;;Reported abusive IP;10.0;;;218.161.76.35;AbuseIPDB;03/03/2025
R576;;Reported abusive IP;10.0;;;92.118.39.75;AbuseIPDB;03/03/2025
R577;;Reported abusive IP;10.0;;;8.221.139.48;AbuseIPDB;03/03/2025
R578;;Reported abusive IP;10.0;;;139.99.35.44;AbuseIPDB;03/03/2025
R579;;Reported abusive IP;10.0;;;152.32.239.15;AbuseIPDB;03/03/2025
R580;;Reported abusive IP;10.0;;;211.185.49.84;AbuseIPDB;03/03/2025
R581;;Reported abusive IP;10.0;;;218.255.103.194;AbuseIPDB;03/03/2025
R582;;Reported abusive IP;10.0;;;64.62.197.231;AbuseIPDB;03/03/2025
R583;;Reported abusive IP;10.0;;;65.49.1.133;AbuseIPDB;03/03/2025
R584;;Reported abusive IP;10.0;;;65.49.20.90;AbuseIPDB;03/03/2025
R585;;Reported abusive IP;10.0;;;184.105.247.251;AbuseIPDB;03/03/2025
R586;;Reported abusive IP;10.0;;;135.148.63.208;AbuseIPDB;03/03/2025
R587;;Reported abusive IP;10.0;;;220.77.245.227;AbuseIPDB;03/03/2025
R588;;Reported abusive IP;10.0;;;125.124.99.83;AbuseIPDB;03/03/2025
R589;;Reported abusive IP;10.0;;;184.105.139.89;AbuseIPDB;03/03/2025
R590;;Reported abusive IP;10.0;;;45.156.128.87;AbuseIPDB;03/03/2025
R591;;Reported abusive IP;10.0;;;8.211.52.151;AbuseIPDB;03/03/2025
R592;;Reported abusive IP;10.0;;;125.229.246.174;AbuseIPDB;03/03/2025
R593;;Reported abusive IP;10.0;;;167.71.229.198;AbuseIPDB;03/03/2025
R594;;Reported abusive IP;10.0;;;96.126.112.14;AbuseIPDB;03/03/2025
R595;;Reported abusive IP;10.0;;;118.140.120.198;AbuseIPDB;03/03/2025
R596;;Reported abusive IP;10.0;;;119.178.237.192;AbuseIPDB;03/03/2025
R597;;Reported abusive IP;10.0;;;65.49.20.75;AbuseIPDB;03/03/2025
R598;;Reported abusive IP;10.0;;;206.168.34.131;AbuseIPDB;03/03/2025
R599;;Reported abusive IP;10.0;;;206.168.34.174;AbuseIPDB;03/03/2025
R600;;Reported abusive IP;10.0;;;193.163.125.111;AbuseIPDB;03/03/2025
R601;;Reported abusive IP;10.0;;;64.62.197.61;AbuseIPDB;03/03/2025
R602;;Reported abusive IP;10.0;;;106.75.162.233;AbuseIPDB;03/03/2025
R603;;Reported abusive IP;10.0;;;164.52.24.185;AbuseIPDB;03/03/2025
R604;;Reported abusive IP;10.0;;;152.32.207.42;AbuseIPDB;03/03/2025
R605;;Reported abusive IP;10.0;;;193.163.125.42;AbuseIPDB;03/03/2025
R606;;Reported abusive IP;10.0;;;103.176.79.210;AbuseIPDB;03/03/2025
R607;;Reported abusive IP;10.0;;;73.167.244.117;AbuseIPDB;03/03/2025
R608;;Reported abusive IP;10.0;;;193.163.125.140;AbuseIPDB;03/03/2025
R609;;Reported abusive IP;10.0;;;152.67.216.185;AbuseIPDB;03/03/2025
R610;;Reported abusive IP;10.0;;;206.189.57.162;AbuseIPDB;03/03/2025
R611;;Reported abusive IP;10.0;;;103.196.30.122;AbuseIPDB;03/03/2025
R612;;Reported abusive IP;10.0;;;1.34.107.46;AbuseIPDB;03/03/2025
R613;;Reported abusive IP;10.0;;;42.200.153.220;AbuseIPDB;03/03/2025
R614;;Reported abusive IP;10.0;;;211.37.174.62;AbuseIPDB;03/03/2025
R615;;Reported abusive IP;10.0;;;219.102.105.1;AbuseIPDB;03/03/2025
R616;;Reported abusive IP;10.0;;;51.79.27.107;AbuseIPDB;03/03/2025
R617;;Reported abusive IP;10.0;;;20.84.146.207;AbuseIPDB;03/03/2025
R618;;Reported abusive IP;10.0;;;64.62.156.70;AbuseIPDB;03/03/2025
R619;;Reported abusive IP;10.0;;;80.82.77.33;AbuseIPDB;03/03/2025
R620;;Reported abusive IP;10.0;;;118.194.251.144;AbuseIPDB;03/03/2025
R621;;Reported abusive IP;10.0;;;164.92.244.132;AbuseIPDB;03/03/2025
R622;;Reported abusive IP;10.0;;;74.82.47.53;AbuseIPDB;03/03/2025
R623;;Reported abusive IP;10.0;;;193.163.125.193;AbuseIPDB;03/03/2025
R624;;Reported abusive IP;10.0;;;206.168.34.132;AbuseIPDB;03/03/2025
R625;;Reported abusive IP;10.0;;;193.163.125.23;AbuseIPDB;03/03/2025
R626;;Reported abusive IP;10.0;;;170.244.44.158;AbuseIPDB;03/03/2025
R627;;Reported abusive IP;10.0;;;64.62.156.24;AbuseIPDB;03/03/2025
R628;;Reported abusive IP;10.0;;;220.134.253.147;AbuseIPDB;03/03/2025
R629;;Reported abusive IP;10.0;;;135.148.213.249;AbuseIPDB;03/03/2025
R630;;Reported abusive IP;10.0;;;206.168.34.168;AbuseIPDB;03/03/2025
R631;;Reported abusive IP;10.0;;;47.237.114.190;AbuseIPDB;03/03/2025
R632;;Reported abusive IP;10.0;;;220.133.167.224;AbuseIPDB;03/03/2025
R633;;Reported abusive IP;10.0;;;190.119.112.102;AbuseIPDB;03/03/2025
R634;;Reported abusive IP;10.0;;;51.91.174.248;AbuseIPDB;03/03/2025
R635;;Reported abusive IP;10.0;;;139.59.130.52;AbuseIPDB;03/03/2025
R636;;Reported abusive IP;10.0;;;206.81.24.74;AbuseIPDB;03/03/2025
R637;;Reported abusive IP;10.0;;;193.163.125.176;AbuseIPDB;03/03/2025
R638;;Reported abusive IP;10.0;;;135.148.25.121;AbuseIPDB;03/03/2025
R639;;Reported abusive IP;10.0;;;193.163.125.2;AbuseIPDB;03/03/2025
R640;;Reported abusive IP;10.0;;;65.49.20.114;AbuseIPDB;03/03/2025
